id,wbId,name,original_en_word_count,improved_en_word_count,improvement_pct,status,error_reason
156110,WB136094,Glendronach 13 Years Old 2005 Cask Bottling - Batch 17 Cask Nr.887,103,114,10.7,success,
156114,WB112320,Port Charlotte 10 Heavily Peated 2018,131,112,-14.5,success,
156116,WB92755,Kavalan Solist Fino Cask Nr.FI100707007B,95,109,14.7,success,
156117,WB50547,Chichibu On The Way 2013,105,113,7.6,success,
156118,WB166256,Glenallachie 16 Years Old 2004 Single Cask Cask Nr.4457,112,114,1.8,success,
156119,WB206088,Glenlivet Captains Reserve Cognac Cask Selection,94,114,21.3,success,
156123,WB82050,Glenlivet 18 Years Old Auchvaich Single Cask Edition Nr.96404,97,128,32.0,success,
156125,WB82978,Tomatin 14 Years Old Port Casks 2016,115,116,0.9,success,
156126,WB191333,Glenturret Triple Wood 2021 Release,112,123,9.8,success,
156128,WB239789,Hakushu Japanese Forest Bittersweet Edition,105,120,14.3,success,
156133,WB112125,Glenlivet Captains Reserve,87,122,40.2,success,
156139,WB141398,Aberlour A'bunadh Batch 65,94,106,12.8,success,
156145,WB816,Glenrothes 1972 Restricted Release,102,116,13.7,success,
156148,WB55323,Balvenie 15 Years Old Single Barrel Nr.2674,96,120,25.0,success,
156150,WB94030,Bruichladdich 11 Years Old Cask Nr.1129,93,125,34.4,success,
156156,WB146906,Aberlour 10 Years Old Forest Reserve,108,118,9.3,success,
156160,WB154053,Aberlour A'bunadh Batch 66,110,106,-3.6,success,
156163,WB86,Bruichladdich 15 Years Old 2Nd Edition,113,110,-2.7,success,
156166,WB83208,Jura Tastival 2016 ,100,125,25.0,success,
156173,WB167322,Aberlour 18 Years Old,98,109,11.2,success,
156174,WB185006,Aberlour A'bunadh Batch 70,110,104,-5.5,success,
156176,WB54311,Glenturret Triple Wood,113,108,-4.4,success,
156179,WB219294,Aberlour A'bunadh Batch 75,96,121,26.0,success,
156181,WB223,BenRiach 12 Years Old,99,111,12.1,success,
156189,WB168925,Aberlour A'bunadh Batch 67,103,115,11.7,success,
156194,WB169499,Starward Dolce,93,127,36.6,success,
156198,WB12961,Hanyu 1985 Ace Of Hearts Cask Nr.9004,107,126,17.8,success,
156199,WB210365,Glengoyne 15 Years Old Px Cask Edition,104,120,15.4,success,
156210,WB6349,Hanyu 1988 Single Nippon Malt Whisky Nr.9307,104,120,15.4,success,
156212,WB32185,Karuizawa 1970 Vintage - Single Cask Malt Whisky Nr.1985,101,119,17.8,success,
156214,WB5550,Karuizawa 1971 Vintage - Single Cask Malt Whisky Nr.6878,108,120,11.1,success,
156217,WB17095,Glengoyne 1972 Single Cask Nr.2968 31 Years Old,124,115,-7.3,success,
156220,WB197502,Aberlour A'bunadh Batch 72,98,120,22.4,success,
156221,WB86592,Hanyu 1990 Batch 2 Cask Nr.9305,111,120,8.1,success,
156228,WB51551,Kavalan Solist Sherry Cask Nr.S060821045,82,111,35.4,success,
156237,WB25049,BenRiach 34 Years Old 1976 Single Cask Bottling - Batch 8 Cask Nr.6942,120,125,4.2,success,
156239,WB183315,Macallan 18 Years Old,110,114,3.6,success,
156240,WB166108,Glenallachie 13 Years Old 2006 Single Cask Cask Nr.111860,104,103,-1.0,success,
156246,WB162379,Kavalan Solist Sherry Cask Nr.S100209001A,109,115,5.5,success,
156247,WB89,Bruichladdich 20 Years Old Second Edition,87,99,13.8,success,
156257,WB36383,Karuizawa 1984 Carpe Koi Serie Cask Nr.4021,110,117,6.4,success,
156266,WB139421,Chichibu Paris Edition 2019 Ichiro's Malt,101,128,26.7,success,
156275,WB58604,Karuizawa 35 Years Old 1978 Vintage - Single Cask Malt Whisky Nr.8383,98,115,17.3,success,
156277,WB105047,Aberlour Triple Cask 2017,100,119,19.0,success,
156280,WB13400,Aberlour A'bunadh Batch 29,103,103,0.0,success,
156285,WB234844,Glengoyne 2010 Cask Owner Cask Nr.1826,108,115,6.5,success,
156288,WB58173,Hanyu 2000 Ichiro'S Malt - Single Cask Nr.531,113,141,24.8,success,
156296,WB241596,Aberlour Triple Cask 2022,102,113,10.8,success,
156298,WB36762,Bruichladdich 2006 Bere Barley,104,119,14.4,success,
156308,WB110542,Glengoyne 28 Years Old Spirit Of Oak,104,121,16.3,success,
156312,WB102496,Glengoyne 30 Years Old Limited Release,116,119,2.6,success,
156316,WB234433,Aberlour A'bunadh Batch 78,107,114,6.5,success,
156318,WB134080,Redbreast 15 Years Old Triple Distilled And Matured,92,115,25.0,success,
156321,WB6393,Hanyu 2000 Three Of Spades Cask Nr.7000,104,113,8.7,success,
156326,WB87130,Kavalan Solist Port Cask Nr.O090629023A,92,112,21.7,success,
156327,WB127131,Green Spot 1991 Single Cask Nr.50776,108,124,14.8,success,
